Date,Open,High,Low,Close,Volume
25-Sep-15,95.79,95.85,92.06,92.77,28961622
24-Sep-15,93.06,94.76,92.24,94.41,29105964
23-Sep-15,93.40,94.32,92.80,93.97,21701427
22-Sep-15,93.77,94.68,91.92,92.96,36888893
21-Sep-15,94.62,96.49,94.52,95.55,28789973
18-Sep-15,93.20,95.19,93.05,94.40,62299984
17-Sep-15,93.37,95.51,92.90,94.34,27841803
16-Sep-15,92.90,93.60,92.63,93.45,16321193
15-Sep-15,92.37,93.25,91.79,92.90,18859351
14-Sep-15,92.31,92.62,91.60,92.31,20127871
11-Sep-15,91.68,92.08,91.13,92.05,21185049
10-Sep-15,90.07,92.06,89.63,91.98,26333820
9-Sep-15,90.78,91.98,90.17,90.44,32551123
8-Sep-15,89.69,90.24,88.83,89.53,27012543
4-Sep-15,87.20,88.39,86.70,88.26,27328667
3-Sep-15,89.76,89.82,87.73,88.15,27048198
2-Sep-15,88.81,89.89,87.63,89.89,27190527
1-Sep-15,86.85,89.39,86.50,87.23,36097370
31-Aug-15,90.60,91.05,88.89,89.43,32850666
28-Aug-15,89.88,91.48,89.79,91.01,33215885
27-Aug-15,89.10,90.06,87.19,89.73,42431375
26-Aug-15,85.95,87.46,83.26,87.19,45124302
25-Aug-15,86.95,87.67,83.00,83.00,52021230
24-Aug-15,77.03,87.14,72.00,82.09,83710727
21-Aug-15,87.52,89.18,85.61,86.06,62778680
20-Aug-15,93.54,94.77,90.46,90.56,44598224
19-Aug-15,94.63,96.10,94.16,95.31,23251271
18-Aug-15,94.08,95.85,94.04,95.17,22278848
17-Aug-15,94.42,94.46,93.39,93.93,18313531
14-Aug-15,93.54,94.72,93.21,94.42,15929656
13-Aug-15,94.05,94.73,93.35,93.43,17390570
12-Aug-15,92.70,94.44,91.19,94.19,27120375
11-Aug-15,93.73,94.76,92.90,93.62,22491031
10-Aug-15,95.68,95.90,93.63,94.15,21624153
7-Aug-15,95.38,95.40,93.61,94.30,23199145
6-Aug-15,97.18,98.74,94.42,95.12,42271318
5-Aug-15,95.25,97.09,95.18,96.44,29813174
4-Aug-15,93.79,94.73,93.33,94.06,20136036
3-Aug-15,93.53,95.08,92.80,94.14,29343117
31-Jul-15,94.95,96.33,93.95,94.01,46509045
30-Jul-15,94.91,95.81,91.80,95.21,86211323
29-Jul-15,96.32,97.28,94.74,96.99,64648320
28-Jul-15,94.84,95.56,93.31,95.29,35235993
27-Jul-15,96.58,96.61,93.83,94.17,38585381
24-Jul-15,97.35,97.76,95.88,96.95,33444930
23-Jul-15,96.96,97.45,94.81,95.44,29418833
22-Jul-15,96.74,97.58,95.92,97.04,28299518
21-Jul-15,98.95,99.24,97.14,98.39,39453332
20-Jul-15,95.85,98.60,95.36,97.91,54860541
17-Jul-15,92.55,95.39,92.54,94.97,54001635
16-Jul-15,90.28,90.86,89.77,90.85,21804086
15-Jul-15,90.00,90.99,89.42,89.76,30886601
14-Jul-15,90.46,90.80,89.65,89.68,26627849
13-Jul-15,88.66,90.22,88.42,90.10,29976670
10-Jul-15,87.35,88.22,86.77,87.95,23245873
