Date,Open,High,Low,Close,Volume
25-Sep-15,196.57,197.14,192.00,193.89,1144284
24-Sep-15,195.83,195.83,189.68,194.08,1608307
23-Sep-15,197.65,198.00,195.10,196.85,1013544
22-Sep-15,196.50,199.42,194.91,197.32,1604161
21-Sep-15,203.32,203.98,197.10,198.58,1770462
18-Sep-15,195.00,203.43,194.89,202.98,3329966
17-Sep-15,197.02,199.62,195.22,196.96,1371645
16-Sep-15,197.12,198.72,194.12,197.65,1182170
15-Sep-15,194.36,196.32,192.92,195.45,1070050
14-Sep-15,195.77,196.54,192.24,194.26,933386
11-Sep-15,192.53,196.52,191.30,195.60,1862194
10-Sep-15,186.66,193.24,186.00,193.10,1936321
9-Sep-15,184.84,190.96,184.19,186.65,2253635
8-Sep-15,183.81,185.90,179.98,183.18,1855814
4-Sep-15,177.15,181.24,176.23,180.43,1379417
3-Sep-15,179.98,181.20,177.13,179.10,1934285
2-Sep-15,177.69,179.83,173.90,179.61,1483708
1-Sep-15,176.83,180.81,174.22,175.27,1798159
31-Aug-15,184.09,184.76,179.89,180.60,1503106
28-Aug-15,181.99,184.68,180.44,183.94,1230041
27-Aug-15,181.00,184.76,179.05,182.64,1917910
26-Aug-15,174.41,178.96,169.50,178.47,1981568
25-Aug-15,178.77,179.79,169.89,169.94,1990988
24-Aug-15,166.35,180.42,165.57,172.38,3102401
21-Aug-15,176.73,182.95,175.60,179.50,2795769
20-Aug-15,187.39,190.23,180.36,180.57,1940998
19-Aug-15,185.62,190.00,184.65,188.71,1531697
18-Aug-15,187.19,189.25,185.51,186.88,1904842
17-Aug-15,189.77,191.39,187.61,190.66,768430
14-Aug-15,189.00,191.34,188.01,189.59,1200158
13-Aug-15,189.38,191.83,187.37,188.82,1617165
12-Aug-15,187.98,189.97,184.20,188.90,1819988
11-Aug-15,190.43,192.34,187.06,190.02,1433255
10-Aug-15,191.79,192.53,188.92,190.22,1318047
7-Aug-15,189.02,191.33,188.12,190.03,1678918
6-Aug-15,192.70,194.67,187.85,189.51,2381412
5-Aug-15,195.98,196.90,191.62,192.70,2590092
